Rule ID,Description,URL,,,,,
S3020,"""toArray"" should be passed an array of the proper type",https://rules.sonarsource.com/java/RSPEC-3020,,,,,
S3027,String function use should be optimized for single characters,https://rules.sonarsource.com/java/RSPEC-3027,,,,,
S3034,Raw byte values should not be used in bitwise operations in combination with shifts,https://rules.sonarsource.com/java/RSPEC-3034,,,,,
S3038,Abstract methods should not be redundant,https://rules.sonarsource.com/java/RSPEC-3038,,,,,
S3042,"""writeObject"" should not be the only ""synchronized"" code in a class",https://rules.sonarsource.com/java/RSPEC-3042,,,,,
S3046,"""wait"" should not be called when multiple locks are held",https://rules.sonarsource.com/java/RSPEC-3046,,,,,
S3066,"""enum"" fields should not be publicly mutable",https://rules.sonarsource.com/java/RSPEC-3066,,,,,
S3067,"""getClass"" should not be used for synchronization",https://rules.sonarsource.com/java/RSPEC-3067,,,,,
S3281,"Default EJB interceptors should be declared in ""ejb-jar.xml""",https://rules.sonarsource.com/java/RSPEC-3281,,,,,
S3358,Ternary operators should not be nested,https://rules.sonarsource.com/java/RSPEC-3358,,,,,
S3398,"""private"" methods called only by inner classes should be moved to those classes",https://rules.sonarsource.com/java/RSPEC-3398,,,,,
